OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,COD_DISTRI,TIPO_DISTR,CODIGO_C17,T_HOM_R,T_MUJ_R,T_POB_R,T_HOM_U,T_MUJ_U,T_POB_U,T_HOM,T_MUJ,T_POB,T_VIV_U,T_VIV_R,T_VIV,Shape_Leng,Shape__Area,Shape__Length,SUPERFICIE__KM2_,Densidad
54,7,REGIÓN DEL MAULE,73,CURICÓ,7305,RAUCO,4,RURAL,730504,96,102,198,0,0,0,96,102,198,0,123,123,0.55517054,151570569.046875,66662.13573656,101.83394623,1.94434178
55,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,111,COYHAIQUE,11102,LAGO VERDE,5,RURAL,1110205,110,93,203,0,0,0,110,93,203,0,145,145,2.13349779,1708031803.36719,271902.02174633,863.40380859,0.23511595
56,7,REGIÓN DEL MAULE,74,LINARES,7403,LONGAVÍ,9,RURAL,740309,132,79,211,0,0,0,132,79,211,0,258,258,1.54022806,967809475.857422,185754.60641596,628.66015625,0.33563447
57,7,REGIÓN DEL MAULE,72,CAUQUENES,7201,CAUQUENES,9,RURAL,720109,116,98,214,0,0,0,116,98,214,0,128,128,0.58112687,189362213.632812,68567.4660433,124.08074188,1.7246834
58,7,REGIÓN DEL MAULE,71,TALCA,7104,EMPEDRADO,4,RURAL,710404,113,101,214,0,0,0,113,101,214,0,122,122,0.65726636,166125199.257812,76726.24244601,109.48262787,1.95464802
59,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6201,PICHILEMU,2,RURAL,620102,119,98,217,0,0,0,119,98,217,0,127,127,0.73176398,213862336.451172,87459.00120713,145.40162659,1.49241793
60,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6101,RANCAGUA,12,RURAL,610112,108,109,217,0,0,0,108,109,217,0,76,76,0.39777977,76308545.4511719,46998.9830079,52.24928665,4.15316677
61,7,REGIÓN DEL MAULE,71,TALCA,7103,CUREPTO,7,RURAL,710307,148,93,241,0,0,0,148,93,241,0,153,153,0.57763453,157335576.8125,69127.32904305,104.89939117,2.29743958
62,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,112,AYSÉN,11202,CISNES,4,RURAL,1120204,246,4,250,0,0,0,246,4,250,0,16,16,52.07029057,8848201145.44531,6226994.19947263,4495.79638672,0.0556075
63,7,REGIÓN DEL MAULE,72,CAUQUENES,7201,CAUQUENES,7,RURAL,720107,140,113,253,0,0,0,140,113,253,0,114,114,0.37137119,75771350.71875,45023.72678716,49.53409576,5.10759306
64,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6109,MALLOA,1,RURAL,610901,139,117,256,0,0,0,139,117,256,0,97,97,0.08504585,3972153.23828125,10015.05718313,2.72613955,93.90568542
65,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6309,PUMANQUE,5,RURAL,630905,145,112,257,0,0,0,145,112,257,0,137,137,0.29620784,62442889.1542969,35501.43378749,42.27114105,6.07979774
66,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,111,COYHAIQUE,11102,LAGO VERDE,4,RURAL,1110204,156,101,257,0,0,0,156,101,257,0,175,175,2.58926231,2247793560.07031,316840.11809982,1137.45788574,0.22594243
67,10,REGIÓN DE LOS LAGOS,102,CHILOÉ,10202,ANCUD,8,RURAL,1020208,153,116,269,0,0,0,153,116,269,0,172,172,1.67644611,798956539.320312,203448.53555727,438.66854858,0.61321926
68,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6202,LA ESTRELLA,3,RURAL,620203,149,126,275,0,0,0,149,126,275,0,137,137,0.46627835,91783881.7402344,54676.61856928,62.57919693,4.39443159
69,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13502,ALHUÉ,5,RURAL,1350205,146,130,276,0,0,0,146,130,276,0,110,110,0.93050013,398671886.222656,108960.95721994,272.58584595,1.01252496
